14/07/19 10:14:57 INFO mapreduce.Job:  map 45% reduce 1%
14/07/19 10:15:19 INFO mapreduce.Job:  map 46% reduce 1%
14/07/19 10:15:42 INFO mapreduce.Job:  map 47% reduce 1%
14/07/19 10:15:58 INFO mapreduce.Job:  map 48% reduce 1%
14/07/19 10:16:20 INFO mapreduce.Job:  map 49% reduce 1%
14/07/19 10:16:44 INFO mapreduce.Job:  map 50% reduce 1%
14/07/19 10:17:38 INFO mapreduce.Job:  map 51% reduce 1%
14/07/19 10:18:10 INFO mapreduce.Job:  map 52% reduce 1%
14/07/19 10:18:24 INFO mapreduce.Job:  map 53% reduce 1%
14/07/19 10:18:38 INFO mapreduce.Job:  map 54% reduce 1%
14/07/19 10:18:51 INFO mapreduce.Job:  map 55% reduce 1%
14/07/19 10:19:08 INFO mapreduce.Job:  map 56% reduce 1%
14/07/19 10:19:31 INFO mapreduce.Job:  map 57% reduce 1%
14/07/19 10:20:05 INFO mapreduce.Job:  map 58% reduce 1%
14/07/19 10:20:44 INFO mapreduce.Job:  map 59% reduce 1%
14/07/19 10:21:15 INFO mapreduce.Job:  map 60% reduce 1%
14/07/19 10:21:35 INFO mapreduce.Job:  map 61% reduce 1%
14/07/19 10:21:50 INFO mapreduce.Job:  map 62% reduce 1%
14/07/19 10:22:07 INFO mapreduce.Job:  map 63% reduce 1%
14/07/19 10:22:30 INFO mapreduce.Job:  map 63% reduce 2%
14/07/19 10:22:34 INFO mapreduce.Job:  map 64% reduce 2%
14/07/19 10:23:05 INFO mapreduce.Job:  map 65% reduce 2%
14/07/19 10:23:27 INFO mapreduce.Job:  map 66% reduce 2%
14/07/19 10:23:48 INFO mapreduce.Job:  map 67% reduce 2%
14/07/19 10:24:17 INFO mapreduce.Job:  map 68% reduce 2%
14/07/19 10:24:52 INFO mapreduce.Job:  map 69% reduce 2%
14/07/19 10:25:08 INFO mapreduce.Job:  map 70% reduce 2%
14/07/19 10:25:39 INFO mapreduce.Job:  map 71% reduce 2%
14/07/19 10:26:04 INFO mapreduce.Job:  map 72% reduce 2%
14/07/19 10:26:30 INFO mapreduce.Job:  map 72% reduce 3%
14/07/19 10:26:31 INFO mapreduce.Job:  map 73% reduce 3%
14/07/19 10:26:46 INFO mapreduce.Job:  map 74% reduce 3%
14/07/19 10:27:06 INFO mapreduce.Job:  map 75% reduce 3%
14/07/19 10:27:24 INFO mapreduce.Job:  map 76% reduce 3%
14/07/19 10:27:43 INFO mapreduce.Job:  map 77% reduce 3%
14/07/19 10:28:13 INFO mapreduce.Job:  map 78% reduce 3%
14/07/19 10:28:53 INFO mapreduce.Job:  map 79% reduce 3%
14/07/19 10:29:15 INFO mapreduce.Job:  map 80% reduce 3%
14/07/19 10:29:38 INFO mapreduce.Job:  map 81% reduce 3%
14/07/19 10:29:55 INFO mapreduce.Job:  map 82% reduce 3%
14/07/19 10:30:14 INFO mapreduce.Job:  map 83% reduce 3%
14/07/19 10:30:38 INFO mapreduce.Job:  map 84% reduce 3%
14/07/19 10:31:07 INFO mapreduce.Job:  map 85% reduce 3%
14/07/19 10:31:31 INFO mapreduce.Job:  map 86% reduce 3%
14/07/19 10:31:49 INFO mapreduce.Job:  map 87% reduce 3%
14/07/19 10:32:06 INFO mapreduce.Job:  map 88% reduce 3%
14/07/19 10:32:24 INFO mapreduce.Job:  map 89% reduce 3%
14/07/19 10:32:55 INFO mapreduce.Job:  map 90% reduce 3%
14/07/19 10:33:39 INFO mapreduce.Job:  map 91% reduce 3%
14/07/19 10:33:53 INFO mapreduce.Job:  map 91% reduce 4%
14/07/19 10:34:00 INFO mapreduce.Job:  map 92% reduce 4%
14/07/19 10:34:20 INFO mapreduce.Job:  map 93% reduce 4%
14/07/19 10:34:34 INFO mapreduce.Job:  map 94% reduce 4%
14/07/19 10:34:51 INFO mapreduce.Job:  map 95% reduce 4%
14/07/19 10:35:10 INFO mapreduce.Job:  map 96% reduce 4%
14/07/19 10:35:37 INFO mapreduce.Job:  map 97% reduce 4%
14/07/19 10:36:13 INFO mapreduce.Job:  map 98% reduce 4%
14/07/19 10:36:55 INFO mapreduce.Job:  map 99% reduce 4%
14/07/19 10:37:21 INFO mapreduce.Job:  map 99% reduce 5%
14/07/19 10:37:46 INFO mapreduce.Job:  map 100% reduce 5%
14/07/19 10:38:21 INFO mapreduce.Job:  map 100% reduce 6%
14/07/19 10:38:33 INFO mapreduce.Job:  map 100% reduce 8%
14/07/19 10:38:34 INFO mapreduce.Job:  map 100% reduce 11%
14/07/19 10:38:38 INFO mapreduce.Job:  map 100% reduce 15%
14/07/19 10:38:39 INFO mapreduce.Job:  map 100% reduce 20%
14/07/19 10:38:43 INFO mapreduce.Job:  map 100% reduce 23%
14/07/19 10:38:44 INFO mapreduce.Job:  map 100% reduce 28%
14/07/19 10:38:48 INFO mapreduce.Job:  map 100% reduce 31%
14/07/19 10:38:49 INFO mapreduce.Job:  map 100% reduce 36%
14/07/19 10:38:53 INFO mapreduce.Job:  map 100% reduce 40%
14/07/19 10:38:54 INFO mapreduce.Job:  map 100% reduce 45%
14/07/19 10:38:58 INFO mapreduce.Job:  map 100% reduce 48%
14/07/19 10:38:59 INFO mapreduce.Job:  map 100% reduce 53%
14/07/19 10:39:03 INFO mapreduce.Job:  map 100% reduce 56%
14/07/19 10:39:04 INFO mapreduce.Job:  map 100% reduce 61%
14/07/19 10:39:08 INFO mapreduce.Job:  map 100% reduce 65%
14/07/19 10:39:09 INFO mapreduce.Job:  map 100% reduce 70%
14/07/19 10:39:13 INFO mapreduce.Job:  map 100% reduce 73%
14/07/19 10:39:14 INFO mapreduce.Job:  map 100% reduce 75%
14/07/19 10:39:18 INFO mapreduce.Job:  map 100% reduce 78%
14/07/19 10:39:24 INFO mapreduce.Job:  map 100% reduce 80%
14/07/19 10:39:26 INFO mapreduce.Job:  map 100% reduce 81%
14/07/19 10:39:28 INFO mapreduce.Job:  map 100% reduce 82%
14/07/19 10:39:29 INFO mapreduce.Job:  map 100% reduce 83%
14/07/19 10:39:51 INFO mapreduce.Job:  map 100% reduce 85%
14/07/19 10:39:56 INFO mapreduce.Job:  map 100% reduce 87%
14/07/19 10:47:05 INFO mapreduce.Job:  map 100% reduce 88%
14/07/19 10:55:17 INFO mapreduce.Job: Task Id : attempt_1405756751094_0001_r_000001_1, Status : FAILED
Error: org.apache.hadoop.mapreduce.task.reduce.Shuffle$ShuffleError: error in shuffle in fetcher#3
	at org.apache.hadoop.mapreduce.task.reduce.Shuffle.run(Shuffle.java:134)
	at org.apache.hadoop.mapred.ReduceTask.run(ReduceTask.java:376)
	at org.apache.hadoop.mapred.YarnChild$2.run(YarnChild.java:167)
	at java.security.AccessController.doPrivileged(Native Method)
	at javax.security.auth.Subject.doAs(Subject.java:422)
	at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1548)
	at org.apache.hadoop.mapred.YarnChild.main(YarnChild.java:162)
Caused by: java.lang.OutOfMemoryError: Java heap space
	at org.apache.hadoop.io.BoundedByteArrayOutputStream.<init>(BoundedByteArrayOutputStream.java:56)
	at org.apache.hadoop.io.BoundedByteArrayOutputStream.<init>(BoundedByteArrayOutputStream.java:46)
	at org.apache.hadoop.mapreduce.task.reduce.InMemoryMapOutput.<init>(InMemoryMapOutput.java:63)
	at org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl.unconditionalReserve(MergeManagerImpl.java:297)
	at org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl.reserve(MergeManagerImpl.java:287)
	at org.apache.hadoop.mapreduce.task.reduce.Fetcher.copyMapOutput(Fetcher.java:411)
	at org.apache.hadoop.mapreduce.task.reduce.Fetcher.copyFromHost(Fetcher.java:341)
	at org.apache.hadoop.mapreduce.task.reduce.Fetcher.run(Fetcher.java:165)

14/07/19 10:57:24 INFO mapreduce.Job:  map 100% reduce 89%
