Running on hadoop, using /opt/hadoop-2.4.0/bin/hadoop and HADOOP_CONF_DIR=
MAHOUT-JOB: /opt/mahout/examples/target/mahout-examples-1.0-SNAPSHOT-job.jar
14/07/19 17:38:31 WARN driver.MahoutDriver: No cvb.props found on classpath, will use command-line arguments only
14/07/19 17:38:31 INFO common.AbstractJob: Command line arguments: {--convergenceDelta=[0.0], --dictionary=[/cw-seqdir-sparse-lda/dictionary.file-*], --doc_topic_output=[/runs/r19/doc-topics], --doc_topic_smoothing=[1.0E-4], --endPhase=[2147483647], --input=[/cw-out-matrix/matrix], --iteration_block_size=[10], --maxIter=[1], --max_doc_topic_iters=[10], --num_reduce_tasks=[256], --num_topics=[10], --num_train_threads=[4], --num_update_threads=[4], --output=[/runs/r19/topics], --random_seed=[42], --startPhase=[0], --tempDir=[/runs/r19/cas-temp/], --term_topic_smoothing=[1.0E-4], --test_set_fraction=[0.1]}
14/07/19 17:38:31 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
14/07/19 17:38:58 INFO cvb.CVB0Driver: Will run Collapsed Variational Bayes (0th-derivative approximation) learning for LDA on /cw-out-matrix/matrix (numTerms: 13914453), finding 10-topics, with document/topic prior 1.0E-4, topic/term prior 1.0E-4.  Maximum iterations to run will be 1, unless the change in perplexity is less than 0.0.  Topic model output (p(term|topic) for each topic) will be stored /runs/r19/topics.  Random initialization seed is 42, holding out 0.1 of the data for perplexity check

14/07/19 17:38:58 INFO cvb.CVB0Driver: Dictionary to be used located /cw-seqdir-sparse-lda/dictionary.file-*
p(topic|docId) will be stored /runs/r19/doc-topics

14/07/19 17:38:58 INFO cvb.CVB0Driver: Current iteration number: 0
14/07/19 17:38:58 INFO cvb.CVB0Driver: About to run iteration 1 of 1
14/07/19 17:38:58 INFO cvb.CVB0Driver: About to run: Iteration 1 of 1, input path: /runs/r19/cas-temp/topicModelState/model-0
14/07/19 17:38:58 INFO Configuration.deprecation: mapred.input.dir is deprecated. Instead, use mapreduce.input.fileinputformat.inputdir
14/07/19 17:38:58 INFO Configuration.deprecation: mapred.compress.map.output is deprecated. Instead, use mapreduce.map.output.compress
14/07/19 17:38:58 INFO Configuration.deprecation: mapred.output.dir is deprecated. Instead, use mapreduce.output.fileoutputformat.outputdir
14/07/19 17:38:58 INFO client.RMProxy: Connecting to ResourceManager at dco-node121.dco.ethz.ch/172.31.109.131:8032
14/07/19 17:39:06 INFO input.FileInputFormat: Total input paths to process : 1
14/07/19 17:39:10 INFO mapreduce.JobSubmitter: number of splits:1096
14/07/19 17:39:11 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1405783604276_0001
14/07/19 17:39:11 INFO impl.YarnClientImpl: Submitted application application_1405783604276_0001
14/07/19 17:39:11 INFO mapreduce.Job: The url to track the job: http://dco-node121.dco.ethz.ch:8088/proxy/application_1405783604276_0001/
14/07/19 17:39:11 INFO mapreduce.Job: Running job: job_1405783604276_0001
14/07/19 17:39:20 INFO mapreduce.Job: Job job_1405783604276_0001 running in uber mode : false
14/07/19 17:39:20 INFO mapreduce.Job:  map 0% reduce 0%
14/07/19 17:40:04 INFO mapreduce.Job:  map 1% reduce 0%
14/07/19 17:40:20 INFO mapreduce.Job:  map 2% reduce 0%
14/07/19 17:40:33 INFO mapreduce.Job:  map 3% reduce 0%
14/07/19 17:40:47 INFO mapreduce.Job:  map 4% reduce 0%
14/07/19 17:41:00 INFO mapreduce.Job:  map 5% reduce 0%
14/07/19 17:41:13 INFO mapreduce.Job:  map 6% reduce 0%
14/07/19 17:41:26 INFO mapreduce.Job:  map 7% reduce 0%
14/07/19 17:41:38 INFO mapreduce.Job:  map 8% reduce 0%
14/07/19 17:41:52 INFO mapreduce.Job:  map 9% reduce 0%
14/07/19 17:42:06 INFO mapreduce.Job:  map 10% reduce 0%
14/07/19 17:42:23 INFO mapreduce.Job:  map 11% reduce 0%
14/07/19 17:43:49 INFO mapreduce.Job:  map 12% reduce 0%
14/07/19 17:43:55 INFO mapreduce.Job:  map 13% reduce 0%
14/07/19 17:44:01 INFO mapreduce.Job:  map 14% reduce 0%
14/07/19 17:44:07 INFO mapreduce.Job:  map 15% reduce 0%
14/07/19 17:44:15 INFO mapreduce.Job:  map 16% reduce 0%
14/07/19 17:44:32 INFO mapreduce.Job:  map 17% reduce 0%
14/07/19 17:44:46 INFO mapreduce.Job:  map 18% reduce 0%
14/07/19 17:45:01 INFO mapreduce.Job:  map 19% reduce 0%
14/07/19 17:45:14 INFO mapreduce.Job:  map 20% reduce 0%
14/07/19 17:45:28 INFO mapreduce.Job:  map 21% reduce 0%
14/07/19 17:45:43 INFO mapreduce.Job:  map 22% reduce 0%
14/07/19 17:45:58 INFO mapreduce.Job:  map 23% reduce 0%
14/07/19 17:46:15 INFO mapreduce.Job:  map 24% reduce 0%
14/07/19 17:46:36 INFO mapreduce.Job:  map 25% reduce 0%
14/07/19 17:47:20 INFO mapreduce.Job:  map 26% reduce 0%
14/07/19 17:48:02 INFO mapreduce.Job:  map 27% reduce 0%
14/07/19 17:48:14 INFO mapreduce.Job:  map 28% reduce 0%
14/07/19 17:48:22 INFO mapreduce.Job:  map 29% reduce 0%
14/07/19 17:48:33 INFO mapreduce.Job:  map 30% reduce 0%
14/07/19 17:48:49 INFO mapreduce.Job:  map 31% reduce 0%
14/07/19 17:49:04 INFO mapreduce.Job:  map 32% reduce 0%
14/07/19 17:49:22 INFO mapreduce.Job:  map 33% reduce 0%
14/07/19 17:49:41 INFO mapreduce.Job:  map 34% reduce 0%
14/07/19 17:49:59 INFO mapreduce.Job:  map 35% reduce 0%
14/07/19 17:50:18 INFO mapreduce.Job:  map 36% reduce 0%
14/07/19 17:50:36 INFO mapreduce.Job:  map 37% reduce 0%
14/07/19 17:51:00 INFO mapreduce.Job:  map 38% reduce 0%
14/07/19 17:51:52 INFO mapreduce.Job:  map 39% reduce 0%
14/07/19 17:52:20 INFO mapreduce.Job:  map 40% reduce 0%
14/07/19 17:52:31 INFO mapreduce.Job:  map 41% reduce 0%
14/07/19 17:52:42 INFO mapreduce.Job:  map 42% reduce 0%
14/07/19 17:52:59 INFO mapreduce.Job:  map 43% reduce 0%
14/07/19 17:53:15 INFO mapreduce.Job:  map 44% reduce 0%
14/07/19 17:53:35 INFO mapreduce.Job:  map 45% reduce 0%
14/07/19 17:53:55 INFO mapreduce.Job:  map 46% reduce 0%
14/07/19 17:54:17 INFO mapreduce.Job:  map 47% reduce 0%
14/07/19 17:54:38 INFO mapreduce.Job:  map 48% reduce 0%
14/07/19 17:55:17 INFO mapreduce.Job:  map 49% reduce 0%
14/07/19 17:55:51 INFO mapreduce.Job:  map 50% reduce 0%
14/07/19 17:56:18 INFO mapreduce.Job:  map 51% reduce 0%
14/07/19 17:56:37 INFO mapreduce.Job:  map 52% reduce 0%
14/07/19 17:56:56 INFO mapreduce.Job:  map 53% reduce 0%
14/07/19 17:57:14 INFO mapreduce.Job:  map 54% reduce 0%
14/07/19 17:57:36 INFO mapreduce.Job:  map 55% reduce 0%
14/07/19 17:58:04 INFO mapreduce.Job:  map 56% reduce 0%
14/07/19 17:58:31 INFO mapreduce.Job:  map 57% reduce 0%
14/07/19 17:58:59 INFO mapreduce.Job:  map 58% reduce 0%
14/07/19 17:59:25 INFO mapreduce.Job:  map 59% reduce 0%
14/07/19 18:00:05 INFO mapreduce.Job:  map 60% reduce 0%
14/07/19 18:00:38 INFO mapreduce.Job:  map 61% reduce 0%
14/07/19 18:01:05 INFO mapreduce.Job:  map 62% reduce 0%
14/07/19 18:01:33 INFO mapreduce.Job:  map 63% reduce 0%
14/07/19 18:01:53 INFO mapreduce.Job:  map 64% reduce 0%
14/07/19 18:02:22 INFO mapreduce.Job:  map 65% reduce 0%
14/07/19 18:02:48 INFO mapreduce.Job:  map 66% reduce 0%
14/07/19 18:03:15 INFO mapreduce.Job:  map 67% reduce 0%
